Artist,Genre,key,mode,valence,tempo,year,speechiness,instrumentalness,time_signature
E-40,Hip Hop,F#,Minor,0.609,91.162,1994.0,0.358,2.29e-05,4.0
Dustin,Hip Hop,E,Major,0.0,0.0,2017.0,0.0,0.0,0.0
M.I.A.,Hip Hop,A,Major,0.428,157.7,2001.0,0.0835,0.0168,4.0
Justin Timberlake,Hip Hop,C#,Major,0.882,103.877,2002.0,0.129,5.67e-05,4.0
Justin Timberlake,Hip Hop,E,Major,0.218,100.956,2006.0,0.0344,0.000131,4.0
Snoop Dogg,Hip Hop,B,Minor,0.581,115.256,2001.0,0.0818,0.0,4.0
Xzibit,Hip Hop,C,Minor,0.718,97.487,2002.0,0.224,0.0,4.0
Justin Timberlake,Hip Hop,A#,Minor,0.9,92.914,2002.0,0.0791,0.162,4.0
Snoop Dogg,Hip Hop,C#,Major,0.6759999999999999,90.0,2001.0,0.411,0.0,4.0
Snoop Dogg,Hip Hop,B,Minor,0.7290000000000001,89.959,2001.0,0.344,0.0,4.0
Slum Village,Hip Hop,C,Major,0.536,93.909,2005.0,0.0751,4.3e-06,4.0
Mac Miller,Hip Hop,G,Major,0.259,80.056,2012.0,0.375,4.94e-05,4.0
Tyga,Hip Hop,G#,Major,0.6940000000000001,146.841,2017.0,0.402,0.0,3.0
Plies,Hip Hop,E,Minor,0.0779,139.986,2019.0,0.0735,0.0,4.0
Common,Hip Hop,A#,Minor,0.764,91.9,1997.0,0.266,0.0,4.0
Slum Village,Hip Hop,C#,Minor,0.7140000000000001,85.95299999999996,2005.0,0.37,0.0,4.0
Wyclef Jean,Hip Hop,G#,Major,0.0,0.0,2002.0,0.0,0.0,0.0
Slum Village,Hip Hop,A,Major,0.7170000000000001,105.527,2005.0,0.301,2.15e-06,4.0
21 Savage,Hip Hop,C#,Major,0.306,84.022,2018.0,0.359,1.16e-06,4.0
Lecrae,Hip Hop,G#,Minor,0.228,105.136,2020.0,0.305,0.0,3.0
Soulja Boy,Hip Hop,B,Major,0.16399999999999998,132.984,2018.0,0.363,0.0,4.0
Meek Mill,Hip Hop,E,Minor,0.453,79.012,2018.0,0.331,0.0,4.0
Mystikal,Hip Hop,A,Minor,0.8009999999999999,90.877,1997.0,0.335,0.0,4.0
Chris Brown,Hip Hop,F,Major,0.524,96.488,2014.0,0.0335,0.0,4.0
Gucci Mane,Hip Hop,E,Major,0.6509999999999999,138.013,2020.0,0.0671,0.000285,4.0
Kris Kross,Hip Hop,B,Minor,0.529,98.082,1993.0,0.271,0.0,4.0
Kevin Gates,Hip Hop,G,Minor,0.5539999999999999,121.918,2016.0,0.358,0.0,4.0
M.I.A.,Hip Hop,C,Major,0.424,119.82,2007.0,0.059,0.00303,4.0
Snoop Dogg,Hip Hop,C#,Major,0.728,204.289,2001.0,0.353,1.15e-05,4.0
Mac Miller,Hip Hop,F#,Minor,0.173,155.158,2018.0,0.517,0.000164,4.0
