Artist,Genre,key,mode,valence,tempo,year,speechiness,instrumentalness,time_signature
Madness,Pop,G#,Minor,0.5579999999999999,81.03,2014.0,0.3,0.0,4.0
Alexandra Savior,Pop,F#,Minor,0.7979999999999999,107.051,2017.0,0.0352,0.00395,4.0
Prefab Sprout,Pop,C,Major,0.17600000000000002,119.997,1989.0,0.0449,0.0008349999999999999,4.0
Roxette,Pop,G,Major,0.457,172.583,1991.0,0.0462,0.000168,4.0
*NSYNC,Pop,A#,Major,0.294,168.00099999999995,2005.0,0.0436,0.0,4.0
Belle & Sebastian,Pop,D,Major,0.621,99.421,2013.0,0.0284,0.0177,4.0
Britney Spears,Pop,B,Major,0.659,110.001,2000.0,0.0376,3.17e-05,4.0
Dionne Warwick,Pop,B,Minor,0.6,123.994,1967.0,0.0525,0.0,4.0
Bow Wow Wow,Pop,G#,Major,0.967,132.59799999999998,1996.0,0.0585,0.000145,4.0
Duran Duran,Pop,C#,Major,0.597,113.448,2018.0,0.0473,0.0,4.0
Dionne Warwick,Pop,D#,Minor,0.7929999999999999,108.697,1973.0,0.0491,0.00116,4.0
Britney Spears,Pop,C,Minor,0.968,107.988,2004.0,0.0366,2.96e-06,4.0
Danni Carlos,Pop,G,Minor,0.303,124.116,2003.0,0.0296,0.000167,4.0
Cher,Pop,A,Major,0.381,172.435,1969.0,0.0364,0.0,4.0
Cher,Pop,A,Major,0.447,172.799,1969.0,0.0338,0.0,4.0
Duran Duran,Pop,A,Minor,0.464,126.979,2007.0,0.0745,0.000114,4.0
Cher,Pop,D,Major,0.365,92.751,2019.0,0.0287,0.0,4.0
Cher,Pop,D,Major,0.365,92.751,1969.0,0.0287,0.0,4.0
Dionne Warwick,Pop,F,Major,0.0868,74.919,1968.0,0.0352,2.21e-06,4.0
Dionne Warwick,Pop,F,Major,0.0734,76.317,2016.0,0.032,1.88e-06,4.0
Dionne Warwick,Pop,C,Major,0.8540000000000001,92.616,2005.0,0.104,1.97e-05,4.0
Dionne Warwick,Pop,C#,Major,0.785,158.036,2012.0,0.0697,1.7800000000000002e-05,4.0
Dionne Warwick,Pop,A#,Major,0.27,135.95,1992.0,0.0298,7.13e-06,4.0
Britney Spears,Pop,C,Minor,0.96,104.001,1999.0,0.0341,0.0,4.0
Britney Spears,Pop,G#,Major,0.7490000000000001,101.068,2004.0,0.0426,0.000108,4.0
Kelly Clarkson,Pop,B,Major,0.22,119.61,2002.0,0.0337,0.0,3.0
Carole King,Pop,A,Major,0.303,85.492,1971.0,0.0289,0.00135,3.0
Carole King,Pop,A,Major,0.28300000000000003,129.99,2017.0,0.0394,0.0,4.0
Kudai,Pop,F#,Major,0.14300000000000002,74.992,2017.0,0.0333,0.281,4.0
Britney Spears,Pop,C,Minor,0.883,92.96,2004.0,0.0315,5.56e-05,4.0
Prefab Sprout,Pop,C,Minor,0.395,121.111,2003.0,0.0347,0.28,4.0
Blake Lewis,Pop,E,Minor,0.332,126.636,2007.0,0.0438,3.74e-05,4.0
Taylor Swift,Pop,D,Major,0.407,160.093,2018.0,0.173,0.0,4.0
Miley Cyrus,Pop,B,Minor,0.398,102.974,2015.0,0.0411,7.04e-06,4.0
Beyoncé,Pop,F#,Major,0.261,63.345,2011.0,0.0339,5.14e-06,5.0
Cimorelli,Pop,F,Minor,0.258,93.167,2017.0,0.0312,0.0,4.0
Dionne Warwick,Pop,D,Major,0.746,100.879,2005.0,0.0514,0.00013700000000000002,4.0
Blake Lewis,Pop,D,Major,0.555,120.023,2007.0,0.036000000000000004,3.27e-05,4.0
Michael Jackson,Pop,C#,Major,0.52,103.962,1995.0,0.249,9.34e-06,4.0
Michael Jackson,Pop,C,Major,0.242,90.503,2001.0,0.155,0.0116,4.0
Blue,Pop,C,Minor,0.465,119.931,2011.0,0.061,0.00133,4.0
Becky G,Pop,F,Minor,0.892,91.99,2019.0,0.0896,1.16e-05,4.0
Big Time Rush,Pop,F,Minor,0.851,90.006,2013.0,0.0713,0.0,4.0
