Artist,Genre,key,mode,valence,tempo,year,speechiness,instrumentalness,time_signature
David Bowie,Rock,G,Major,0.607,115.007,2018.0,0.049,0.0252,4.0
Tori Amos,Rock,A,Major,0.445,143.972,2003.0,0.0489,0.0,4.0
R.E.M.,Rock,C,Major,0.391,116.752,2007.0,0.0262,0.0027,4.0
My Chemical Romance,Rock,E,Minor,0.241,110.984,2011.0,0.0374,0.0,4.0
Gram Parsons,Rock,C#,Major,0.239,77.815,2018.0,0.0243,0.00035,4.0
Jimi Hendrix,Rock,C,Major,0.738,120.949,2018.0,0.0397,0.431,4.0
Cowboy Junkies,Rock,G,Major,0.406,142.52200000000005,1990.0,0.0305,0.0006309999999999999,4.0
Cowboy Junkies,Rock,G,Major,0.133,149.032,1995.0,0.0323,0.344,4.0
Sonic Youth,Rock,E,Minor,0.244,95.686,2020.0,0.06,0.013,4.0
Bob Dylan,Rock,G#,Major,0.15,112.692,2008.0,0.0347,0.0007639999999999999,4.0
Third Day,Rock,A,Major,0.5489999999999999,184.08,2004.0,0.0682,2.12e-05,4.0
Rod Stewart,Rock,F#,Minor,0.306,92.657,2003.0,0.0396,5.37e-06,4.0
Whitesnake,Rock,A,Major,0.322,138.112,2018.0,0.0264,0.0133,4.0
David Bowie,Rock,F,Major,0.466,132.04,2016.0,0.115,0.0578,4.0
Tori Amos,Rock,A#,Minor,0.16699999999999998,128.989,2019.0,0.0306,5.69e-05,4.0
Arcade Fire,Rock,G,Major,0.836,79.53699999999998,2007.0,0.0436,0.0015,4.0
Heart,Rock,A,Major,0.485,102.923,1983.0,0.0386,0.000656,4.0
Santana,Rock,E,Minor,0.8440000000000001,126.709,1999.0,0.0683,0.0324,4.0
Weezer,Rock,D#,Major,0.38,128.079,2016.0,0.0368,0.0,4.0
Fleetwood Mac,Rock,A#,Major,0.8809999999999999,131.529,1973.0,0.0293,0.389,4.0
Joan Jett & The Blackhearts,Rock,B,Major,0.66,135.407,2010.0,0.107,5.23e-05,4.0
Rod Stewart,Rock,F,Minor,0.217,114.732,1977.0,0.033,0.000118,4.0
Noel Gallagher,Rock,E,Minor,0.27,121.492,2009.0,0.0326,0.00703,4.0
The Flaming Lips,Rock,A,Major,0.238,79.509,2007.0,0.0296,0.00804,4.0
Elvis Presley,Rock,C,Major,0.922,87.98700000000002,1957.0,0.171,0.0,4.0
ZZ Top,Rock,B,Minor,0.397,105.054,1999.0,0.0397,0.008140000000000001,4.0
Elvis Presley,Rock,C,Major,0.917,99.887,1972.0,0.0362,0.312,4.0
Elvis Presley,Rock,C,Major,0.765,77.675,1957.0,0.0367,0.0,4.0
