,Year,Rock,Pop,Hip Hop
0,1921,54,12,9.0
1,1922,47,20,20.0
2,1923,57,18,10.0
3,1924,74,23,11.0
4,1925,68,21,11.0
5,1926,66,24,5.0
6,1927,49,22,8.0
7,1928,151,40,24.0
8,1929,118,33,19.0
9,1930,169,104,13.0
10,1931,131,94,10.0
11,1932,114,22,2.0
12,1933,84,30,3.0
13,1934,56,17,5.0
14,1935,70,41,4.0
15,1936,66,29,4.0
16,1937,145,49,4.0
17,1938,165,133,6.0
18,1939,151,158,3.0
19,1940,124,157,
20,1941,71,40,
21,1942,66,35,
22,1943,39,38,
23,1944,33,26,
24,1945,43,363,
25,1946,45,295,
26,1947,69,49,
27,1948,59,80,
28,1949,58,35,
29,1950,96,117,
30,1951,84,319,
31,1952,45,49,
32,1953,48,54,
33,1954,67,56,
34,1955,73,34,
35,1956,216,125,
36,1957,199,358,
37,1958,156,45,
38,1959,120,65,
39,1960,127,46,
40,1961,129,60,
41,1962,197,53,
42,1963,127,74,
43,1964,167,121,
44,1965,204,149,
45,1966,410,237,
46,1967,461,276,
47,1968,424,287,
48,1969,535,256,
49,1970,818,350,
50,1971,667,356,
51,1972,680,379,
52,1973,853,506,
53,1974,740,444,
54,1975,795,416,
55,1976,850,514,
56,1977,1182,785,
57,1978,953,624,
58,1979,1316,804,
59,1980,1185,602,
60,1981,974,789,
61,1982,944,774,
62,1983,880,724,
63,1984,954,804,
64,1985,1064,865,
65,1986,1095,1002,
66,1987,1224,1050,
67,1988,1167,990,
68,1989,1209,1024,
69,1990,1101,976,
70,1991,1045,1091,
71,1992,1199,1153,
72,1993,1183,1184,
73,1994,1241,1248,
74,1995,1282,1248,
75,1996,1217,1264,
76,1997,1193,1230,
77,1998,1389,1501,
78,1999,1489,1491,
79,2000,1685,1620,
80,2001,1549,1632,
81,2002,1651,1758,
82,2003,1770,1682,
83,2004,1738,1694,
84,2005,1967,1765,
85,2006,3183,2740,
86,2007,1974,1694,
87,2008,2134,1744,
88,2009,2419,2161,
89,2010,2093,1853,
90,2011,2057,1950,
91,2012,1948,1911,
92,2013,1966,1903,830.0
93,2014,1768,1863,950.0
94,2015,1720,1910,947.0
95,2016,1788,2087,936.0
96,2017,1507,1706,789.0
97,2018,1426,1830,885.0
98,2019,1471,1953,900.0
99,2020,1227,1786,730.0
